# RTL_ID 21041400
#
# Events:
#    N - no event
#    E - exception
#    I - interrupt
#    W - wakeup
# =====================================================================================
# : Core Reset
# =====================================================================================
# Test: illegal.hex
#           Time   Ev  Curr_PC    Instr      Next_PC    Reg        Value     
# =====================================================================================
             287   N   00000526   00f82023   00000528   ---        --------
             289   N   00000528   00000885   0000052c   ---        --------
             290   N   0000052c   ff5ff06f   0000052e   x17_a7     00001718
             291   N   0000052e   08851717   00000522   ---        --------
             296   N   00000522   0000c791   00000526   x15_a5     00000074
             297   N   00000526   00f82023   00000528   ---        --------
             299   N   00000528   00000885   0000052c   ---        --------
             300   N   0000052c   ff5ff06f   0000052e   x17_a7     00001719
             301   N   0000052e   08851717   00000522   ---        --------
             306   N   00000522   0000c791   00000526   x15_a5     00000065
             307   N   00000526   00f82023   00000528   ---        --------
             309   N   00000528   00000885   0000052c   ---        --------
             310   N   0000052c   ff5ff06f   0000052e   x17_a7     0000171a
             311   N   0000052e   08851717   00000522   ---        --------
             316   N   00000522   0000c791   00000526   x15_a5     00000063
             317   N   00000526   00f82023   00000528   ---        --------
             319   N   00000528   00000885   0000052c   ---        --------
             320   N   0000052c   ff5ff06f   0000052e   x17_a7     0000171b
             321   N   0000052e   08851717   00000522   ---        --------
             326   N   00000522   0000c791   00000526   x15_a5     00000074
             327   N   00000526   00f82023   00000528   ---        --------
             329   N   00000528   00000885   0000052c   ---        --------
             330   N   0000052c   ff5ff06f   0000052e   x17_a7     0000171c
             331   N   0000052e   08851717   00000522   ---        --------
             336   N   00000522   0000c791   00000526   x15_a5     00000021
             337   N   00000526   00f82023   00000528   ---        --------
             339   N   00000528   00000885   0000052c   ---        --------
             340   N   0000052c   ff5ff06f   0000052e   x17_a7     0000171d
             341   N   0000052e   08851717   00000522   ---        --------
             346   N   00000522   0000c791   00000526   x15_a5     00000000
             347   N   00000526   00f82023   00000532   ---        --------
             351   N   00000532   20230713   00000536   x14_a4     00001532
             353   N   00000536   0000c311   0000053a   x14_a4     00001900
             354   N   0000053a   00008702   0000053c   ---        --------
             355   N   0000053c   34202773   00001900   ---        --------
             358   N   00001900   e75ff06f   00001940   ---        --------
             361   N   00001940   342022f3   00001944   x06_t1     00000002
             362   N   00001944   ec629ae3   00001948   x05_t0     00000002
             363   N   00001948   341022f3   0000194c   ---        --------
             364   N   0000194c   343023f3   00001950   x05_t0     00001724
             365   N   00001950   00038e63   00001954   x07_t2     00000000
             366   N   00001954   0002d303   00001970   ---        --------
             369   N   00001970   db430313   00001974   x06_t1     00001970
             370   N   00001974   04628e63   00001978   x06_t1     00001724
             371   N   00001978   00000317   000019d4   ---        --------
             374   N   000019d4   34129073   000019d8   x05_t0     0000172c
             375   N   000019d8   30200073   000019dc   ---        --------
             377   N   000019dc   00200337   0000172c   ---        --------
             380   N   0000172c   80028293   00001730   x05_t0     00002000
             381   N   00001730   3002b073   00001734   x05_t0     00001800
             382   N   00001734   00001337   00001738   ---        --------
             383   N   00001738   00001337   00001738   ---        --------
             384   N   00001738   80030313   0000173c   x06_t1     00001000
             385   N   0000173c   30032073   00001740   x06_t1     00000800
             386   N   00001740   300023f3   00001744   ---        --------
             387   N   00001744   300023f3   00001744   ---        --------
             388   N   00001744   0053f3b3   00001748   x07_t2     00001880
             389   N   00001748   0e731063   0000174c   x07_t2     00001800
             390   N   0000174c   34415073   0000182c   ---        --------
             393   N   0000182c   000e0593   00001830   ---        --------
             394   N   00001830   00000513   00001834   x11_a1     00000002
             395   N   00001834   00000073   00001838   x10_a0     00000000
